number,value,params_batch,params_dropout,params_emb_drop,params_hidden_key,params_lr,params_patience,params_weight_decay,state
0,0.05684051298258717,1024,0.4297114130645474,0.14486237970644997,512-256-128,0.0023499485285774766,18,2.9859493737875945e-06,COMPLETE
1,0.056716246056231344,2048,0.249141611149923,0.10197719273671454,256-128-64,0.0010663936578606656,12,5.177521192046731e-05,COMPLETE
2,0.05755427292806234,4096,0.35193159964312926,0.1310720164919308,384-192-96,0.001035671242523077,8,1.3494881461535111e-06,COMPLETE
3,0.05714933926392123,4096,0.38489307116463345,0.048687307468006966,384-192-96,0.0010000132203147006,11,3.1185836810743814e-06,COMPLETE
4,0.056868770392723145,4096,0.3744340316749254,0.08223901460937379,256-128-64,0.002336244666589508,9,1.36720926763125e-06,COMPLETE
5,0.05672156782086532,4096,0.43588340416642835,0.060797923904719706,256-128-64,0.0018432361647736403,17,1.3978945824233022e-06,PRUNED
6,0.05688490544838289,4096,0.19063515075977136,0.13086477935181426,256-128-64,0.002727176464601087,15,5.368239975337228e-06,COMPLETE
7,0.05659072070332056,1024,0.27484720506032445,0.05103912042717188,256-256-128-64,0.0012479693030561564,16,2.2462584633052404e-06,COMPLETE
8,0.05786427558763584,2048,0.3600522072052533,0.08201658680169908,256-128-64,0.0010941484750410738,11,3.457557335186704e-06,PRUNED
9,0.05673549580975995,4096,0.39979427817398994,0.027011909312702313,256-256-128-64,0.0012506650056005578,8,1.3652047391342352e-06,COMPLETE
10,0.05644937830372273,1024,0.10572275885288157,0.0016798571043670912,256-256-128-64,0.0014382750227690505,20,2.1215615312171765e-05,COMPLETE
11,0.05642481244119694,1024,0.1033214548598741,0.0024665578653971162,256-256-128-64,0.0014336642806161344,20,2.363779083659378e-05,COMPLETE
12,0.056410206040426285,1024,0.10744949743831024,0.00301012114675042,256-256-128-64,0.0015701441832933088,20,2.4719796148333818e-05,COMPLETE
13,0.05640224083073787,1024,0.11584428617663092,0.003564658781575409,256-256-128-64,0.0017035954083938285,20,1.9639312999760438e-05,COMPLETE
14,0.056409103370964754,1024,0.18256675487237167,0.02050419345275538,256-256-128-64,0.001811962790545799,18,9.599801038345997e-05,COMPLETE
15,0.05645689274747088,1024,0.18670170063809172,0.027624911382129226,512-256-128,0.0018920255890742279,18,9.623675091304347e-05,COMPLETE
16,0.056399466281270884,1024,0.17914864173638706,0.027522187126085108,256-256-128-64,0.002079902978232178,18,9.567861113196638e-06,COMPLETE
17,0.05643054299148908,1024,0.15012341189361275,0.035640847285936805,256-256-128-64,0.002140960971860542,14,1.1280014958060813e-05,COMPLETE
18,0.05648841283542496,2048,0.22770225709117797,0.017830447270447962,256-256-128-64,0.002803056896555153,14,9.426114114572029e-06,COMPLETE
19,0.05647006714013857,1024,0.29642996467950977,0.044141254188895473,384-192-96,0.0020884283384713562,19,1.1027421249566262e-05,COMPLETE
20,0.056360528473938874,1024,0.15958079195671007,0.06721202496821968,512-256-128,0.0016214671651841735,16,6.498651135318308e-06,PRUNED
21,0.05640622298602304,1024,0.14708834001777565,0.011903384593996945,256-256-128-64,0.0017642113834315364,18,5.1345852053185485e-05,COMPLETE
22,0.05640841326492068,1024,0.14289628565280008,0.015361709212034566,256-256-128-64,0.00203572018551627,19,4.168457775858173e-05,COMPLETE
23,0.056370020928680764,1024,0.4936749172267522,0.012659713697161358,256-256-128-64,0.0016596350927686797,17,1.714596960475327e-05,PRUNED
24,0.056375649992106654,1024,0.20920842716093876,0.03058967730182877,256-256-128-64,0.0024295130803753252,19,4.231312972454218e-05,COMPLETE
25,0.056396888439540556,2048,0.2229503088505966,0.03814405873593975,256-256-128-64,0.0025099540627597826,19,3.5788154790513595e-05,COMPLETE
26,0.05635697355539904,2048,0.22045459882543977,0.036142765918088925,256-256-128-64,0.002596245758611501,16,3.534593875470487e-05,PRUNED
27,0.05645656481786209,2048,0.3280186293180947,0.05928278126194016,256-256-128-64,0.002427647300792655,19,6.635155805414277e-05,PRUNED
28,0.05645266109634112,2048,0.2597152454204682,0.03623527968082037,384-192-96,0.0025559239449155203,17,3.4765074405858736e-05,COMPLETE
29,0.05639475452362779,2048,0.22967023291200295,0.09769603575108404,512-256-128,0.002292155692063457,19,1.290851527978026e-05,PRUNED
